Episode	Accumulated Reward	Length	Steps
1210	-2	4	5308
1211	-2	4	5312
1212	-2	4	5316
1213	-2	4	5320
1214	-2	4	5324
1215	-2	4	5328
1216	-2	4	5332
1217	-2	4	5336
1218	-2	4	5340
1219	-2	4	5344
1220	-2	4	5348
1221	-2	4	5352
1222	-2	4	5356
1223	-2	4	5360
1224	-2	4	5364
1225	-2	4	5368
1226	-2	4	5372
1227	-2	4	5376
1228	-2	4	5380
1229	-2	4	5384
1230	-2	4	5388
1231	-2	4	5392
1232	-2	4	5396
1233	-2	4	5400
1234	-2	4	5404
1235	-2	4	5408
1236	-2	4	5412
1237	-2	4	5416
1238	-2	4	5420
1239	-2	4	5424
1240	-2	4	5428
1241	-2	4	5432
1242	-2	4	5436
1243	-2	4	5440
1244	-2	4	5444
1245	-2	4	5448
1246	-2	4	5452
1247	-2	4	5456
1248	-2	4	5460
1249	-2	4	5464
1250	-2	4	5468
1251	-2	4	5472
1252	-2	4	5476
1253	-2	4	5480
1254	-2	4	5484
1255	-2	4	5488
1256	-2	4	5492
1257	-2	4	5496
1258	-2	4	5500
1259	-2	4	5504
1260	-2	4	5508
1261	-2	4	5512
1262	-2	4	5516
1263	-2	4	5520
1264	-2	4	5524
1265	-2	4	5528
1266	-2	4	5532
1267	-2	4	5536
1268	-2	4	5540
1269	-2	4	5544
1270	-3	5	5549
1271	-2	4	5553
1272	-4	6	5559
1273	-2	4	5563
1274	-2	4	5567
1275	-2	4	5571
1276	-2	4	5575
1277	-2	4	5579
1278	-2	4	5583
1279	-2	4	5587
1280	-2	4	5591
1281	-2	4	5595
1282	-2	4	5599
1283	-2	4	5603
1284	-4	6	5609
1285	-2	4	5613
1286	-2	4	5617
1287	-2	4	5621
1288	-2	4	5625
1289	-2	4	5629
1290	-2	4	5633
1291	-2	4	5637
1292	-2	4	5641
1293	-2	4	5645
1294	-3	5	5650
1295	-2	4	5654
1296	-2	4	5658
1297	-2	4	5662
1298	-2	4	5666
1299	-4	6	5672
1300	-2	4	5676
1301	-2	4	5680
1302	-2	4	5684
1303	-2	4	5688
1304	-2	4	5692
1305	-2	4	5696
1306	-2	4	5700
1307	-2	4	5704
1308	-2	4	5708
1309	-2	4	5712
1310	-2	4	5716
1311	-2	4	5720
1312	-4	6	5726
1313	-2	4	5730
1314	-2	4	5734
1315	-2	4	5738
1316	-2	4	5742
1317	-2	4	5746
1318	-2	4	5750
1319	-2	4	5754
1320	-2	4	5758
1321	-2	4	5762
1322	-2	4	5766
1323	-3	5	5771
1324	-2	4	5775
1325	-4	6	5781
1326	-2	4	5785
1327	-2	4	5789
1328	-2	4	5793
1329	-2	4	5797
1330	-2	4	5801
1331	-2	4	5805
1332	-2	4	5809
1333	-2	4	5813
1334	-4	6	5819
1335	-2	4	5823
1336	-2	4	5827
1337	-2	4	5831
1338	-2	4	5835
1339	-2	4	5839
1340	-2	4	5843
1341	-2	4	5847
1342	-2	4	5851
1343	-2	4	5855
1344	-2	4	5859
1345	-4	6	5865
1346	-2	4	5869
1347	-2	4	5873
1348	-2	4	5877
1349	-2	4	5881
1350	-2	4	5885
1351	-4	6	5891
1352	-2	4	5895
1353	-2	4	5899
1354	-2	4	5903
1355	-2	4	5907
1356	-2	4	5911
1357	-2	4	5915
1358	-2	4	5919
1359	-2	4	5923
1360	-2	4	5927
1361	-2	4	5931
1362	-2	4	5935
1363	-2	4	5939
1364	-2	4	5943
1365	-2	4	5947
1366	-2	4	5951
1367	-2	4	5955
1368	-2	4	5959
