Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
116	-17	17	2045	116	-17	17	2045	116	-17	17	2045	116	-17	17	2045	116	-17	17	2045	116	-17	17	2045	116	-17	17	2045	116	-17	17	2045	116	-17	17	2045
117	-17	17	2062	117	-17	17	2062	117	-17	17	2062	117	-17	17	2062	117	-17	17	2062	117	-17	17	2062	117	-17	17	2062	117	-17	17	2062	117	-17	17	2062
118	-17	17	2079	118	-17	17	2079	118	-17	17	2079	118	-17	17	2079	118	-17	17	2079	118	-17	17	2079	118	-17	17	2079	118	-17	17	2079	118	-17	17	2079
119	-119	20	2099	119	-119	20	2099	119	-119	20	2099	119	-119	20	2099	119	-119	20	2099	119	-119	20	2099	119	-119	20	2099	119	-119	20	2099	119	-119	20	2099
120	-16	16	2115	120	-16	16	2115	120	-16	16	2115	120	-16	16	2115	120	-16	16	2115	120	-16	16	2115	120	-16	16	2115	120	-16	16	2115	120	-16	16	2115
121	-15	15	2130	121	-15	15	2130	121	-15	15	2130	121	-15	15	2130	121	-15	15	2130	121	-15	15	2130	121	-15	15	2130	121	-15	15	2130	121	-15	15	2130
122	-19	19	2149	122	-19	19	2149	122	-19	19	2149	122	-19	19	2149	122	-19	19	2149	122	-19	19	2149	122	-19	19	2149	122	-19	19	2149	122	-19	19	2149
123	-20	20	2169	123	-20	20	2169	123	-20	20	2169	123	-20	20	2169	123	-20	20	2169	123	-20	20	2169	123	-20	20	2169	123	-20	20	2169	123	-20	20	2169
124	-15	15	2184	124	-15	15	2184	124	-15	15	2184	124	-15	15	2184	124	-15	15	2184	124	-15	15	2184	124	-15	15	2184	124	-15	15	2184	124	-15	15	2184
125	-18	18	2202	125	-18	18	2202	125	-18	18	2202	125	-18	18	2202	125	-18	18	2202	125	-18	18	2202	125	-18	18	2202	125	-18	18	2202	125	-18	18	2202
126	-17	17	2219	126	-17	17	2219	126	-17	17	2219	126	-17	17	2219	126	-17	17	2219	126	-17	17	2219	126	-17	17	2219	126	-17	17	2219	126	-17	17	2219
127	-19	19	2238	127	-19	19	2238	127	-19	19	2238	127	-19	19	2238	127	-19	19	2238	127	-19	19	2238	127	-19	19	2238	127	-19	19	2238	127	-19	19	2238
128	-17	17	2255	128	-17	17	2255	128	-17	17	2255	128	-17	17	2255	128	-17	17	2255	128	-17	17	2255	128	-17	17	2255	128	-17	17	2255	128	-17	17	2255
129	-15	15	2270	129	-15	15	2270	129	-15	15	2270	129	-15	15	2270	129	-15	15	2270	129	-15	15	2270	129	-15	15	2270	129	-15	15	2270	129	-15	15	2270
130	-17	17	2287	130	-17	17	2287	130	-17	17	2287	130	-17	17	2287	130	-17	17	2287	130	-17	17	2287	130	-17	17	2287	130	-17	17	2287	130	-17	17	2287
131	-15	15	2302	131	-15	15	2302	131	-15	15	2302	131	-15	15	2302	131	-15	15	2302	131	-15	15	2302	131	-15	15	2302	131	-15	15	2302	131	-15	15	2302
132	-15	15	2317	132	-15	15	2317	132	-15	15	2317	132	-15	15	2317	132	-15	15	2317	132	-15	15	2317	132	-15	15	2317	132	-15	15	2317	132	-15	15	2317
133	-15	15	2332	133	-15	15	2332	133	-15	15	2332	133	-15	15	2332	133	-15	15	2332	133	-15	15	2332	133	-15	15	2332	133	-15	15	2332	133	-15	15	2332
134	-19	19	2351	134	-19	19	2351	134	-19	19	2351	134	-19	19	2351	134	-19	19	2351	134	-19	19	2351	134	-19	19	2351	134	-19	19	2351	134	-19	19	2351
135	-18	18	2369	135	-18	18	2369	135	-18	18	2369	135	-18	18	2369	135	-18	18	2369	135	-18	18	2369	135	-18	18	2369	135	-18	18	2369	135	-18	18	2369
136	-17	17	2386	136	-17	17	2386	136	-17	17	2386	136	-17	17	2386	136	-17	17	2386	136	-17	17	2386	136	-17	17	2386	136	-17	17	2386	136	-17	17	2386
137	-15	15	2401	137	-15	15	2401	137	-15	15	2401	137	-15	15	2401	137	-15	15	2401	137	-15	15	2401	137	-15	15	2401	137	-15	15	2401	137	-15	15	2401
138	-17	17	2418	138	-17	17	2418	138	-17	17	2418	138	-17	17	2418	138	-17	17	2418	138	-17	17	2418	138	-17	17	2418	138	-17	17	2418	138	-17	17	2418
139	-17	17	2435	139	-17	17	2435	139	-17	17	2435	139	-17	17	2435	139	-17	17	2435	139	-17	17	2435	139	-17	17	2435	139	-17	17	2435	139	-17	17	2435
140	-15	15	2450	140	-15	15	2450	140	-15	15	2450	140	-15	15	2450	140	-15	15	2450	140	-15	15	2450	140	-15	15	2450	140	-15	15	2450	140	-15	15	2450
141	-19	19	2469	141	-19	19	2469	141	-19	19	2469	141	-19	19	2469	141	-19	19	2469	141	-19	19	2469	141	-19	19	2469	141	-19	19	2469	141	-19	19	2469
142	-15	15	2484	142	-15	15	2484	142	-15	15	2484	142	-15	15	2484	142	-15	15	2484	142	-15	15	2484	142	-15	15	2484	142	-15	15	2484	142	-15	15	2484
143	-17	17	2501	143	-17	17	2501	143	-17	17	2501	143	-17	17	2501	143	-17	17	2501	143	-17	17	2501	143	-17	17	2501	143	-17	17	2501	143	-17	17	2501
144	-19	19	2520	144	-19	19	2520	144	-19	19	2520	144	-19	19	2520	144	-19	19	2520	144	-19	19	2520	144	-19	19	2520	144	-19	19	2520	144	-19	19	2520
145	-15	15	2535	145	-15	15	2535	145	-15	15	2535	145	-15	15	2535	145	-15	15	2535	145	-15	15	2535	145	-15	15	2535	145	-15	15	2535	145	-15	15	2535
146	-19	19	2554	146	-19	19	2554	146	-19	19	2554	146	-19	19	2554	146	-19	19	2554	146	-19	19	2554	146	-19	19	2554	146	-19	19	2554	146	-19	19	2554
147	-19	19	2573	147	-19	19	2573	147	-19	19	2573	147	-19	19	2573	147	-19	19	2573	147	-19	19	2573	147	-19	19	2573	147	-19	19	2573	147	-19	19	2573
148	-15	15	2588	148	-15	15	2588	148	-15	15	2588	148	-15	15	2588	148	-15	15	2588	148	-15	15	2588	148	-15	15	2588	148	-15	15	2588	148	-15	15	2588
